Player,PayRnk,pay,college,team,pos,age,games,point,ThrP,ThrPA,eFG,FreeThrow,rebound,assist
Derrick White,377,1404600,New York University,TOR,PG,23,17,15.9,0.5,0.8,0.606,0.7,1.5,0.5
Josh Hart,378,1394520,College of the Holy Cross,MIA,SG,22,63,12.2,1.2,3.1,0.573,0.702,4.2,1.3
Timothe Luwawu-Cabarrot,379,1386600,Louisiana State University,BRK,SF,22,52,7,1,3,0.474,0.793,1.4,1
Brice Johnson,380,1331160,University of Kentucky,MIN,PF,23,18,18.2,0,0.1,0.476,0.6,1.7,0.1
Pascal Siakam,381,1312611,University of Notre Dame,MEM,PF,23,81,14.5,0.4,1.6,0.537,0.621,4.5,2
Dejounte Murray,382,1312611,Furman University,CLE,PG,21,81,15.1,0.1,0.4,0.451,0.709,5.7,2.9
Skal Labissiere,383,1312611,University of Maryland,HOU,PF,21,60,14.3,0.3,0.9,0.467,0.805,4.8,1.2
Deyonta Davis,384,1312611,Western Kentucky University,WAS,C,21,62,16.6,0,0,0.608,0.667,4,0.6
Chinanu Onuaku,385,1312611,Duquesne University,UTA,C,21,1,-3.2,0,0,0.4,0,4,1
Damian Jones,386,1312611,Western Kentucky University,POR,C,22,15,6.8,0,0,0.5,0.6,0.9,0.1
Wayne Selden,387,1312611,University of Kentucky,PHI,SG,23,35,11.8,1.4,3.5,0.522,0.746,1.6,1.9
Cheick Diallo,388,1312611,University of Kentucky,PHI,PF,21,52,17,0,0,0.58,0.758,4.1,0.4
Joel Bolomboy,389,1312611,Pennsylvania State University,OKC,PF,24,6,11.7,0,0.2,0.5,0.5,1.7,0
Davis Bertans,390,1312611,Indiana State University,MIA,PF,25,77,14.1,1.2,3.3,0.568,0.816,2,1
Bryn Forbes,391,1312611,Valparaiso University,LAC,SG,24,80,9.1,1.1,2.9,0.51,0.667,1.4,1
Jake Layman,392,1312611,Fordham University,IND,SF,23,35,4.9,0.1,0.6,0.34,0.667,0.5,0.3
Tyler Ulis,393,1312611,St. John's University,GSW,PG,22,71,10.1,0.6,2.1,0.426,0.832,1.8,4.4
